Report ID,Category of Incident,Country of Incident,Date of Incident,Subject,Full Scientific Name,Common Name,Item / Commodity Type,Count,Quantity - Weight,Unit of Weight,Estimated Value,Currency,Value in USD
MOR14706,1. Seizure,India,11/1/2017 0:00,"Processed sea cucumbers, sea horses, dry pipefish and horse conch meat seized in Kodipangu, Thondi",Syngnathidae,,Individual - Dead,,4,Kilograms,,,
MOR14706,1. Seizure,India,11/1/2017 0:00,"Processed sea cucumbers, sea horses, dry pipefish and horse conch meat seized in Kodipangu, Thondi",Triplofusus giganteus,,Individual - Dead,,12,Kilograms,,,
MOR14707,1. Seizure,Nigeria,11/20/2017 0:00,55 Elephant tusks seized on the Nigerian-Cameroon border,Elephantidae,Elephants,Tusk,55,,,,,
MOR14709,1. Seizure,Malawi,12/1/2017 0:00,"Two Elephant tusks seized in Rumphi, one man and one woman arrested",Elephantidae,Elephants,Tusk,2,50,Kilograms,,,
MOR14710,1. Seizure,India,12/2/2017 0:00,"Two elephant tusks seized in Gudalur, one 28-year-old man arrested",Elephantidae,Elephants,Tusk,2,,,,,
MOR14712,1. Seizure,Thailand,1/5/2018 0:00,3 tusks & 31 ivory pieces (148 kg combined) were seized at Suvarnabhumi International Airport,Elephantidae,Elephants,Tusk,3,148,Kilograms,,,469800
MOR14712,1. Seizure,Thailand,1/5/2018 0:00,3 tusks & 31 ivory pieces (148 kg combined) were seized at Suvarnabhumi International Airport,Elephantidae,Elephants,Ivory Pieces - Raw,31,148,Kilograms,,,469800
MOR14713,1. Seizure,India,12/21/2017 0:00,6 jars of snake venom seized in Baripur,Serpentes,,Derivatives NES,,,,,,
MOR14721,1. Seizure,India,1/1/2018 0:00,"1,782 rose-ringed parakeets and plum-headed parakeets, 80 hill mynas and 892 munias seized at Barddhaman Junction Railway Station",Psittacula krameri,"Ring-necked Parakeet, Rose-ringed Parakeet, Cotorra de Kramer, Loro rabudo collar, Periquito de collar africano, Perruche à collier",Individual - Live,,,,,,
MOR14721,1. Seizure,India,1/1/2018 0:00,"1,782 rose-ringed parakeets and plum-headed parakeets, 80 hill mynas and 892 munias seized at Barddhaman Junction Railway Station",Gracula religiosa,"Common Hill Myna, Hill Myna, Miná de la India, Miná religioso, Mainate Religieux, Merle des Indes",Individual - Live,80,,,,,
MOR14721,1. Seizure,India,1/1/2018 0:00,"1,782 rose-ringed parakeets and plum-headed parakeets, 80 hill mynas and 892 munias seized at Barddhaman Junction Railway Station",Psittacula cyanocephala,"Plum-headed Parakeet, Cotorra ciruela, Perruche à tête prune",Individual - Live,,,,,,
MOR14721,1. Seizure,India,1/1/2018 0:00,"1,782 rose-ringed parakeets and plum-headed parakeets, 80 hill mynas and 892 munias seized at Barddhaman Junction Railway Station",Lonchura,,Individual - Live,892,,,,,
MOR14722,1. Seizure,India,1/11/2018 0:00,"Three raids conducted at Nurpur Bedi and one at Kiratpur Sahib, various wildlife seized",Strigiformes,"Buho, Rapaces Nocturnes",Claw,,,,,,
MOR14722,1. Seizure,India,1/11/2018 0:00,"Three raids conducted at Nurpur Bedi and one at Kiratpur Sahib, various wildlife seized",Canis,,Skin,112,,,,,
MOR14722,1. Seizure,India,1/11/2018 0:00,"Three raids conducted at Nurpur Bedi and one at Kiratpur Sahib, various wildlife seized",Serpentes,,Other (See Description Notes),,,,,,
MOR14722,1. Seizure,India,1/11/2018 0:00,"Three raids conducted at Nurpur Bedi and one at Kiratpur Sahib, various wildlife seized",Serpentes,,Scales,,,,,,
MOR14722,1. Seizure,India,1/11/2018 0:00,"Three raids conducted at Nurpur Bedi and one at Kiratpur Sahib, various wildlife seized",Serpentes,,Bone,,,,,,
